GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
UIAndAPIAutomationFramework,ConfigurationUtility,ConfigurationManager,14,47,1,3,4,13,2,4,1,3
UIAndAPIAutomationFramework,ConfigurationUtility,ConfigEnumUtility,0,21,0,0,0,2,0,1,0,1
UIAndAPIAutomationFramework,ExtentReportUtility,ExtentReportManager,13,112,5,7,3,28,5,8,0,7
UIAndAPIAutomationFramework,ActionsUtility,ActionsUtility,11,68,0,0,3,15,0,3,0,3
UIAndAPIAutomationFramework,POMOfUI,AmazonPage,0,21,0,0,0,7,0,2,0,2
UIAndAPIAutomationFramework,ScreenshotUtility,ScreenshotUtility,75,53,3,1,23,13,3,3,1,3
UIAndAPIAutomationFramework,ConstantUtility,ConstantUtility,7,0,0,0,2,0,2,0,2,0
UIAndAPIAutomationFramework,WebDriverUtility,DriverManager,9,51,4,5,3,15,4,6,0,5
